source_id,entity_type,entity_name,field_name,field_value,field_unit,page,bbox
W2280104906,FRB,FRB 150418,dispersion_measure,776.2(5),cm^-3 pc,4,"[146, 1205, 1194, 1250]"
W2280104906,FRB,FRB 150418,dispersion_measure,776.2(5),cm^-3 pc,16,"[716, 785, 881, 813]"
W2280104906,FRB,FRB 150418,dispersion_measure,776.2(5),cm^-3 pc,22,"[147, 1063, 1133, 1098]"
W2542011985,FRB,FRB010125,dispersion_measure,790(3),cm^-3 pc,43,"[393, 289, 440, 305]"
W2542011985,FRB,FRB010621,dispersion_measure,745(10),cm^-3 pc,43,"[390, 314, 445, 330]"
W2542011985,FRB,FRB010724,dispersion_measure,375.0,cm^-3 pc,43,"[404, 340, 432, 353]"
W2542011985,FRB,FRB090625,dispersion_measure,899.55(1),cm^-3 pc,43,"[383, 364, 452, 379]"
W2542011985,FRB,FRB110220,dispersion_measure,944.38(5),cm^-3 pc,43,"[383, 389, 452, 405]"
W2542011985,FRB,FRB110523,dispersion_measure,623.30(6),cm^-3 pc,43,"[383, 414, 451, 430]"
W2542011985,FRB,FRB110627,dispersion_measure,723.0(3),cm^-3 pc,43,"[387, 440, 447, 454]"
W2542011985,FRB,FRB110703,dispersion_measure,1103.6(7),cm^-3 pc,43,"[384, 464, 451, 480]"
W2542011985,FRB,FRB120127,dispersion_measure,553.3(3),cm^-3 pc,43,"[386, 488, 447, 503]"
W2542011985,FRB,FRB121002,dispersion_measure,1629.18(2),cm^-3 pc,43,"[379, 513, 454, 529]"
W2542011985,FRB,FRB121102,dispersion_measure,557(2),cm^-3 pc,43,"[393, 538, 441, 554]"
W2542011985,FRB,FRB130626,dispersion_measure,952.4(1),cm^-3 pc,43,"[386, 563, 448, 579]"
W2542011985,FRB,FRB130628,dispersion_measure,469.88(1),cm^-3 pc,43,"[384, 588, 452, 604]"
W2542011985,FRB,FRB130729,dispersion_measure,861(2),cm^-3 pc,43,"[393, 613, 441, 629]"
W2542011985,FRB,FRB131104,dispersion_measure,779(1),cm^-3 pc,43,"[393, 638, 441, 654]"
W2542011985,FRB,FRB140514,dispersion_measure,562.7(6),cm^-3 pc,43,"[385, 663, 447, 679]"
W2542011985,FRB,FRB150418,dispersion_measure,776.2(5),cm^-3 pc,43,"[386, 688, 448, 705]"
W2885497170,FRB,FRB 010125,dispersion_measure,790 ± 3,pc cm^-3,3,"[658, 257, 669, 271]"
W2885497170,FRB,FRB 010621,dispersion_measure,745 ± 10,pc cm^-3,3,"[658, 257, 669, 271]"
W2885497170,FRB,FRB 010724,dispersion_measure,375,pc cm^-3,3,"[269, 275, 298, 291]"
W2885497170,FRB,FRB 090625,dispersion_measure,899.55 ± 0.01,pc cm^-3,3,"[659, 277, 670, 292]"
W2885497170,FRB,FRB 110220,dispersion_measure,944.38 ± 0.05,pc cm^-3,3,"[659, 277, 670, 292]"
W2885497170,FRB,FRB 110523,dispersion_measure,623.3 ± 0.06,pc cm^-3,3,"[1153, 277, 1172, 291]"
W2885497170,FRB,FRB 110626,dispersion_measure,723 ± 0.3,pc cm^-3,3,"[573, 235, 598, 249]"
W2885497170,FRB,FRB 110703,dispersion_measure,1103.6 ± 0.7,pc cm^-3,3,"[658, 257, 669, 271]"
W2885497170,FRB,FRB 120127,dispersion_measure,553.3 ± 0.3,pc cm^-3,3,"[573, 235, 598, 249]"
W2885497170,FRB,FRB 121002,dispersion_measure,1629.18 ± 0.02,pc cm^-3,3,"[1154, 380, 1172, 394]"
W2885497170,FRB,FRB 121102,dispersion_measure,557 ± 2,pc cm^-3,3,"[658, 257, 669, 271]"
W2885497170,FRB,FRB 130626,dispersion_measure,952.4 ± 0.1,pc cm^-3,3,"[659, 277, 670, 292]"
W2885497170,FRB,FRB 130628,dispersion_measure,469.88 ± 0.01,pc cm^-3,3,"[1158, 629, 1176, 643]"
W2885497170,FRB,FRB 130729,dispersion_measure,861 ± 2,pc cm^-3,3,"[658, 609, 670, 623]"
W2885497170,FRB,FRB 131104,dispersion_measure,779 ± 1,pc cm^-3,3,"[658, 257, 669, 271]"
W2885497170,FRB,FRB 140514,dispersion_measure,562.7 ± 0.6,pc cm^-3,3,"[658, 257, 669, 271]"
W2885497170,FRB,FRB 150215,dispersion_measure,1105.6 ± 0.8,pc cm^-3,3,"[659, 277, 670, 292]"
W2885497170,FRB,FRB 150418,dispersion_measure,776.2 ± 0.5,pc cm^-3,3,"[658, 257, 669, 271]"
W2885497170,FRB,FRB 150610,dispersion_measure,1593.9 ± 0.6,pc cm^-3,3,"[659, 277, 670, 292]"
W2885497170,FRB,FRB 150807,dispersion_measure,266.5 ± 0.1,pc cm^-3,3,"[659, 277, 670, 292]"
W2885497170,FRB,FRB 151206,dispersion_measure,1909.8 ± 0.6,pc cm^-3,3,"[573, 339, 598, 353]"
W2885497170,FRB,FRB 151230,dispersion_measure,960.4 ± 0.5,pc cm^-3,3,"[659, 277, 670, 292]"
W2885497170,FRB,FRB 160102,dispersion_measure,2596.1 ± 0.3,pc cm^-3,3,"[573, 235, 598, 249]"
W2885497170,FRB,FRB 160317,dispersion_measure,1165 ± 11,pc cm^-3,3,"[659, 277, 670, 292]"
W2885497170,FRB,FRB 160410,dispersion_measure,278 ± 3,pc cm^-3,3,"[658, 257, 669, 271]"
W2885497170,FRB,FRB 160608,dispersion_measure,682 ± 7,pc cm^-3,3,"[658, 257, 669, 271]"
W2885497170,FRB,FRB 170107,dispersion_measure,609.5 ± 0.5,pc cm^-3,3,"[659, 277, 670, 292]"
W2885497170,FRB,FRB 170827,dispersion_measure,176.4 ± 0,pc cm^-3,3,"[1154, 235, 1173, 249]"
W2885497170,FRB,FRB 170922,dispersion_measure,1111,pc cm^-3,3,"[267, 815, 300, 830]"
W2885497170,FRB,FRB 171209,dispersion_measure,1458,pc cm^-3,3,"[268, 837, 302, 851]"
W2885497170,FRB,FRB 180301,dispersion_measure,520,pc cm^-3,3,"[270, 857, 298, 872]"
W2885497170,FRB,FRB 180309,dispersion_measure,263.47,pc cm^-3,3,"[260, 878, 308, 893]"
W2885497170,FRB,FRB 180311,dispersion_measure,1575.6,pc cm^-3,3,"[261, 899, 309, 913]"
W2885497170,FRB,FRB 180528,dispersion_measure,899,pc cm^-3,3,"[233, 296, 333, 312]"
W2885497170,FRB,FRB 180714,dispersion_measure,1469.873,pc cm^-3,3,"[254, 941, 316, 956]"
W2885497170,FRB,FRB 180725A,dispersion_measure,716.6,pc cm^-3,3,"[263, 962, 304, 977]"
W3010745702,FRB,FRB 010312,dispersion_measure,1187.0,cm^-3 pc,4,"[565, 325, 614, 341]"
W3010745702,FRB,FRB 010724,dispersion_measure,375.0,cm^-3 pc,4,"[567, 346, 609, 362]"
W3010745702,FRB,FRB 090625,dispersion_measure,899.5,cm^-3 pc,4,"[567, 366, 609, 381]"
W3010745702,FRB,FRB 110214,dispersion_measure,168.8,cm^-3 pc,4,"[569, 387, 609, 402]"
W3010745702,FRB,FRB 110220,dispersion_measure,944.4,cm^-3 pc,4,"[567, 408, 608, 423]"
W3010745702,FRB,FRB 110523,dispersion_measure,623.3,cm^-3 pc,4,"[567, 429, 608, 444]"
W3010745702,FRB,FRB 110626,dispersion_measure,723.0,cm^-3 pc,4,"[567, 449, 609, 465]"
W3010745702,FRB,FRB 110703,dispersion_measure,1103.6,cm^-3 pc,4,"[566, 470, 612, 485]"
